LINE,YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
Z345,36.98,9,157.44,0.91,32.5,97,97,25.54,8.972,2.98
Z346,56.05,14,133.5,0.93,34.18,92,94,23.48,9.594,2.728
Z347,57.33,14,157.29,0.89,30.98,93,98.5,23.02,8.753,2.759
Z348,42.74,6,270.83,0.87,32.18,94,99.3,22.5,9.396,2.787
Z349,46.39,11,163.18,0.85,30.93,96,106,22.74,8.386,2.884
Z350,51.93,11,163.36,0.92,33.25,94,94,24.44,9.527,2.719
Z351,48.22,11,169.09,0.9,29.52,92,98.3,23.92,8.701,2.819
Z352,49.19,11,153.27,0.92,32.93,95,105.7,25.48,9.481,2.745
Z353,43.14,12,132.58,0.92,30.87,94,102.3,24.22,8.349,3.024
Z354,35.59,10,130.4,0.96,29.57,87,95,23.4,8.157,2.912
Z355,42.74,9,161.78,0.96,30.65,85,101.7,20.84,8.359,2.937
Z356,19.24,7,113.14,0.88,29.13,85,99.3,23.5,8.479,2.823
Z357,38.2,10,145.7,0.89,32,85,94.7,23.88,9.093,2.761
