LINE,YPP,PN,GNPP,SSR,GWe,FLL,HD,PH,PL,GL,GWi,FLW
Z286,53.02,17,132.7,0.83,31.3,45,78,115.3,26.16,9.95,2.83,1.93
Z287,55.52,21,157.7,0.7,26.22,38.83,79,116.7,27.52,8.82,2.82,1.93
Z288,46.85,13,172.8,0.78,27.48,44,86,117.7,30.12,9.37,2.65,1.87
Z289,49.98,11,201.8,0.83,29.15,40,86,122.3,30.22,9.82,2.67,1.97
Z290,56.43,13,216.7,0.73,29.32,42,87,116.7,29.02,8.96,2.96,2.17
Z291,51.83,12,231,0.68,29.32,48.83,86,113,29.22,8.88,2.98,2.03
Z292,30.27,12,122.6,0.74,31.42,45.67,79,119.3,26.1,10.1,2.68,1.9
Z293,22.34,8,158.6,0.55,32.7,45.67,84,122.7,27.34,10.32,2.69,2.1
Z294,46.68,12,186.2,0.76,29.37,53.67,87,121.7,27.4,9.18,2.89,2.03
Z295,35.25,15,160.1,0.59,28.42,44.83,84,120.3,26.7,9.84,2.64,1.77
Z296,43.09,15,163.9,0.64,30.32,42.67,79,121.7,27.9,10.24,2.64,2
Z297,52.84,14,167.9,0.74,32.25,42.83,79,119.7,29.4,10.52,2.68,2.07
Z298,52.04,15,156.3,0.79,31.25,38.83,78,124,28.84,10.7,2.76,1.97
Z299,44.67,10,197.1,0.84,28.92,54.67,85,124.3,29.42,8.96,2.94,2.1
